profile,route_ratio_min,route_ratio_max,included_observations,excluded_observations,excluded_invalid_google_distance,excluded_invalid_google_time,excluded_route_ratio_above_max,excluded_route_ratio_below_min,excluded_self_loop
moderate,0.7,1.5,1661,439,21,21,313,105,21
strict,0.8,1.25,1596,504,21,21,357,126,21
