timestamp_label,day_name,period,observation_count,mean,median,standard_deviation,q05,q95
mon_01,mon,night,79,0.3646665104473638,0.36073672613874,0.3086516230200801,-0.1660634363124193,0.878594750320824
mon_07,mon,am,79,0.4187366432784189,0.41740920818487437,0.41391102864934937,-0.1871002518514047,0.9639463206239047
mon_17,mon,pm,79,0.47691626521819486,0.4588579012984545,0.3367133124060322,-0.08171235772882533,0.9996531097796068
tue_01,tue,night,79,0.36174659286807576,0.3343274029356055,0.3068464505244607,-0.14214030964530286,0.878594750320824
tue_07,tue,am,79,0.42139579715114744,0.4276095814458263,0.33668873052553533,-0.11751284122676013,0.9254132924358776
tue_17,tue,pm,79,0.4560361856874922,0.44060977180724453,0.3254364540518838,-0.08171235772882533,0.9598599654169351
wed_01,wed,night,79,0.35441983101647406,0.3756228679364633,0.3457702122360624,-0.1660634363124193,0.8760285890879626
wed_07,wed,am,80,0.4310755898386667,0.41264272416135706,0.34389284927000785,-0.1149399485767966,0.9235618497140413
wed_17,wed,pm,79,0.4587019544981341,0.4386741505792601,0.3306603767748995,-0.08171235772882533,0.9623315429203085
thu_01,thu,night,79,0.3704049801552427,0.3573502561274405,0.3039278608556592,-0.14214030964530286,0.878594750320824
thu_07,thu,am,79,0.41770485824514625,0.4122593371983095,0.33173098439119236,-0.08171235772882533,0.9335269554829955
thu_17,thu,pm,79,0.47953957452033286,0.44060977180724453,0.33319531633941246,-0.08171235772882533,0.9824566233109523
fri_01,fri,night,79,0.35379899395408004,0.3544824547372748,0.34959374932202886,-0.1660634363124193,0.878594750320824
fri_07,fri,am,80,0.4362285491917257,0.4263421406219796,0.33551309187712625,-0.08000931894004713,0.9611866298220765
fri_17,fri,pm,79,0.45887720831758694,0.41740920818487437,0.32741604663431045,-0.08171235772882533,0.9623315429203085
sat_01,sat,night,79,0.369304774736891,0.34278193335679297,0.30644721869405045,-0.14214030964530286,0.878594750320824
sat_07,sat,am,79,0.42308521223746415,0.41740920818487437,0.3356886590260809,-0.1660634363124193,0.9254132924358776
sat_17,sat,pm,79,0.489052166290545,0.4757230992916976,0.3409279929685457,-0.08171235772882533,1.004700820841315
sun_01,sun,night,79,0.37991072164353396,0.3756228679364633,0.3097317096758904,-0.14214030964530286,0.878594750320824
sun_07,sun,am,79,0.396606075403602,0.3694501804389544,0.34322761070932023,-0.1660634363124193,0.9335269554829955
sun_17,sun,pm,79,0.4533515989413067,0.4386741505792601,0.3101287573049416,-0.08171235772882533,0.9247592753510717
